A,B,C,D,E1,E2,E3,F1,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G34,G35,H,I,J
1.7,0.83,A,B,1393,11.5,10.14,A,0.5,0.5,2.5,20,6,8,24,1.89,0.25,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
0.9,1.13,A,B,1393,2.7,10.19,A,0.5,0.5,2.54,20,6,8,24,1.88,0.25,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
1.6,1.41,B,B,1393,12.1,10.26,A,0.5,0.51,2.58,20,6,8,24,1.87,0.24,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
2.4,1.95,B,B,1393,9.7,10.34,A,0.5,0.51,2.62,20,6,8,24,1.86,0.24,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
0.9,2.17,E,B,1393,7.9,10.44,A,0.5,0.52,2.66,20,6,8,24,1.84,0.24,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
0.5,2.21,E,B,1393,-1.1,10.5,A,0.5,0.52,2.7,20,6,8,24,1.83,0.24,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
1.3,2.76,E,B,1393,1.4,10.66,A,0.5,0.53,2.78,20,6,8,24,1.81,0.24,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
1.9,2.82,E,B,1393,7,10.75,A,0.5,0.54,2.81,20,6,8,24,1.8,0.23,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
2.3,2.77,E,B,1393,4.7,10.87,A,0.5,0.54,2.85,20,6,8,24,1.79,0.23,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
2.3,2.84,E,B,1393,13.7,10.99,A,0.5,0.55,2.89,20,6,8,24,1.77,0.23,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
1,2.58,E,B,1393,6.8,11.15,A,0.5,0.55,2.93,20,6,8,24,1.75,0.23,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
1.6,2.6,E,B,1393,11.8,11.31,A,0.5,0.55,2.97,20,6,8,24,1.72,0.22,15.6,10993,0,35,296,0,0.97,0,11,A1,A,
