A,B,C,D,E1,E2,E3,F1,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G34,G35,H,I,J
2.69,0.68,E,A,3063,12.51,11.9819745,L,0.5551,0.614999999999999,3.07,0,0,0,0,0.792857637946066,0.484060452640756,7.3448275862069,5852.1,5,22,,0.21,,,,A11,A,
2.64,0.76,E,A,3063,20.36,12.175325,L,0.5524,0.619749999999999,3.02,0,0,0,0,0.780266645859556,0.476373320630045,7.3448275862069,5852.1,5,22,,0.21,,,,A11,A,
2.49,0.81,E,A,3063,26.41,12.375581,L,0.5497,0.624499999999999,2.96,0,0,0,0,0.767640727332317,0.468664865108151,7.3448275862069,5852.1,5,22,,0.21,,,,A11,A,
3.88,0.91,E,A,3063,19.22,12.576032,L,0.547,0.629249999999999,2.91,0,0,0,0,0.755405202531291,0.461194755229631,7.3448275862069,5852.1,5,22,,0.21,,,,A11,A,
1.52,1.05,E,A,3063,32.48,12.765095,L,0.5443,0.634,2.85,0,0,0,0,0.744216944723091,0.454364029409887,7.3448275862069,5852.1,5,22,,0.21,,,,A11,A,
1.93,0.64,E,A,3063,26.97,12.9254275,L,0.5416,0.749,2.8,0,0,0,0,0.734985361219194,0.44872790474435,7.3448275862069,5852.1,5,22,,0.21,,,,A11,A,
1.74,0.51,E,A,3063,28.86,13.10779525,L,0.5389,0.864,2.75,0,0,0,0,0.724759566258864,0.442484787821201,7.3448275862069,5852.1,5,22,,0.21,,,,A11,A,
3.12,1.08,E,A,3063,34.68,13.356365,L,0.5362,0.979,2.69,0,0,0,0,0.711271367621355,0.434249887600406,7.3448275862069,5852.1,5,22,,0.21,,,,A11,A,
2.4,0.85,E,A,3063,40.9,13.583495,L,0.5335,1.094,2.64,0,0,0,0,0.699378179179953,0.426988783078287,7.3448275862069,5852.1,5,22,,0.21,,,,A11,A,
2.92,0.85,E,A,3063,48.18,13.7355105,L,0.5308,1.209,2.58,0,0,0,0,0.691637926380676,0.422263155053465,7.47321813534532,5852.1,5,22,,0.21,,,,A11,A,
2.78,0.66,E,A,3063,51.42,13.898164,L,0.5281,1.324,2.53,0,0,0,0,0.683543524166214,0.417321309490951,7.84579380180868,5852.1,5,22,,0.21,,,,A11,A,
1.61,0.39,E,A,3063,64.09,14.074865,L,0.5254,1.439,2.48,0,0,0,0,0.674962068907943,0.412082105228007,8.43024113043283,5852.1,5,22,,0.21,,,,A11,A,
