A,B,E1,E2,E3,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G35,J,C_A,C_B,C_C,C_D,C_E,D_A,D_B,F1_A,F1_D,F1_G,F1_H,F1_L,F1_M,H_A1,H_A10,H_A11,H_A12,H_A13,H_A14,H_A15,H_A16,H_A17,H_A18,H_A19,H_A2,H_A20,H_A3,H_A4,H_A5,H_A6,H_A7,H_A8,H_A9,I_A,I_B,I_C,I_D,I_E,I_F,I_G
1.0,0.09390543053104948,-0.019727818036822567,-0.2344521450450911,-0.24750159207110775,-0.16027768639179896,-0.1837436614637886,0.0764624979323808,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.08653507832233287,-0.1964004179712691,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.6,0.09490243950413024,-0.019727818036822567,-0.16985266184095674,-0.23960682925938795,-0.16027768639179896,-0.1837436614637886,0.08016277545319486,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.07704516258419215,-0.19923227605107885,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7,0.08243982734062076,-0.019727818036822567,-0.19956842411485853,-0.23072522109620322,-0.16027768639179896,-0.1789658305990012,0.0838630529740089,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.07071855209209836,-0.19923227605107885,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.1,0.08692636771948417,-0.019727818036822567,-0.19956842411485853,-0.2233238809602159,-0.16027768639179896,-0.1789658305990012,0.08756333049482296,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.06122863635395765,-0.19923227605107885,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.7,0.08543085425986303,-0.019727818036822567,-0.23316015538100837,-0.21394885012129872,-0.16027768639179896,-0.17418799973421387,0.09126360801563702,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.05490202586186385,-0.20206413413088864,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.8,0.08941889015218607,-0.019727818036822567,-0.25770795899857946,-0.20605408730957891,-0.16027768639179896,-0.17418799973421387,0.08663826111461946,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.04541211012372322,-0.20206413413088864,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.4,0.07147272863673242,-0.019727818036822567,-0.1969844447866932,-0.19815932449785914,-0.16027768639179896,-0.16941016886942648,0.08293798359380539,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.03908549963162941,-0.20206413413088864,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.8,0.060007125446303704,-0.019727818036822567,-0.2551239796704141,-0.1892777163346744,-0.16027768639179896,-0.16941016886942648,0.07831263669278783,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.03275888913953561,-0.20206413413088864,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.8,0.06150263890592484,-0.019727818036822567,-0.21894826907609885,-0.18088953084722215,-0.16027768639179896,-0.16463233800463908,0.07461235917197377,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.02643227864744181,-0.20489599221069837,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4,0.04405498187701159,-0.019727818036822567,-0.18018857915361824,-0.1725013453597699,-0.16027768639179896,-0.16463233800463908,0.06998701227095616,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.020105668155348005,-0.20489599221069837,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.5,0.04255946841739045,-0.019727818036822567,-0.1737286308332048,-0.16361973719658515,-0.16027768639179896,-0.1598545071398517,0.061661387849124547,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.013779057663254204,-0.20489599221069837,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.04754451328279423,-0.019727818036822567,-0.19569245512261046,-0.151284170303273,-0.16027768639179896,-0.06907572070889131,0.05333576342729292,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.010615752417207303,-0.20489599221069837,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9,0.0390699370116078,-0.019727818036822567,-0.1414288892311376,-0.14634994354594819,-0.16027768639179896,-0.02129741206101746,0.04963548590647886,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.0042891419251134995,-0.20772785029050814,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.5,0.03757442355198665,-0.019727818036822567,-0.1737286308332048,-0.13894860340996087,-0.16027768639179896,0.021703065722069006,0.045010139005461254,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.001125836679066598,-0.20772785029050814,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.4,0.041063954957769315,-0.019727818036822567,-0.10525317863682236,-0.1305604179225086,-0.16027768639179896,0.06948137436994291,0.04038479210444369,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,-0.0020374685669803036,-0.20772785029050814,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.6,0.03508190111928476,-0.019727818036822567,-0.16856067217687404,-0.12069196440785884,-0.16027768639179896,0.16026016080090325,0.03205916768261207,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,-0.008364079059074107,-0.20772785029050814,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
