A,B,E1,E2,E3,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G35,J,C_A,C_B,C_C,C_D,C_E,D_A,D_B,F1_A,F1_D,F1_G,F1_H,F1_L,F1_M,H_A1,H_A10,H_A11,H_A12,H_A13,H_A14,H_A15,H_A16,H_A17,H_A18,H_A19,H_A2,H_A20,H_A3,H_A4,H_A5,H_A6,H_A7,H_A8,H_A9,I_A,I_B,I_C,I_D,I_E,I_F,I_G
1.4,2.13,1393,9.7,12.15,0.5,0.58,3.0,20.0,6.0,8.0,24.0,1.6,0.21,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.8,1.9,1393,5.2,12.33,0.5,0.58,2.95,20.0,6.0,8.0,24.0,1.58,0.21,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.8,1.93,1393,8.0,12.5,0.5,0.59,2.91,20.0,6.0,8.0,24.0,1.56,0.2,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4,1.58,1393,11.0,12.67,0.5,0.59,2.86,20.0,6.0,8.0,24.0,1.54,0.2,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.5,1.55,1393,11.5,12.85,0.5,0.6,2.77,20.0,6.0,8.0,24.0,1.52,0.2,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1.65,1393,9.8,13.1,0.5,0.79,2.68,20.0,6.0,8.0,24.0,1.51,0.2,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9,1.48,1393,14.0,13.2,0.5,0.89,2.64,20.0,6.0,8.0,24.0,1.49,0.19,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.5,1.45,1393,11.5,13.35,0.5,0.98,2.59,20.0,6.0,8.0,24.0,1.48,0.19,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.4,1.52,1393,16.8,13.52,0.5,1.08,2.54,20.0,6.0,8.0,24.0,1.47,0.19,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.6,1.4,1393,11.9,13.72,0.5,1.27,2.45,20.0,6.0,8.0,24.0,1.45,0.19,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,1.59,1393,10.1,13.96,0.5,1.36,2.41,20.0,6.0,8.0,24.0,1.44,0.19,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1,1.46,1393,16.5,14.2,0.5,1.46,2.36,20.0,6.0,8.0,24.0,1.42,0.18,15.78,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.8,1.25,1393,10.8,14.44,0.5,1.55,2.32,20.0,6.0,8.0,24.0,1.41,0.18,16.07,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1.04,1393,11.2,14.92,0.5,1.74,2.23,20.0,6.0,8.0,24.0,1.4,0.18,16.47,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.8,1.14,1393,15.5,15.13,0.5,1.84,2.18,20.0,6.0,8.0,24.0,1.38,0.18,17.83,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4,1.07,1393,14.7,15.38,0.5,1.93,2.14,20.0,6.0,8.0,24.0,1.35,0.18,19.98,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.5,1.22,1393,25.6,15.73,0.5,2.03,2.09,20.0,6.0,8.0,24.0,1.33,0.17,22.23,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1.19,1411,11.5,10.14,0.5,0.5,2.5,20.0,6.0,8.0,42.0,1.89,0.66,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.2240000000003401,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.8,1.11,1411,2.7,10.19,0.5,0.5,2.54,20.0,6.0,8.0,42.0,1.88,0.66,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.647999999999769,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.5,1.35,1411,12.1,10.26,0.5,0.51,2.58,20.0,6.0,8.0,42.0,1.87,0.65,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.15199999999987,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.1,2.02,1411,9.7,10.34,0.5,0.51,2.62,20.0,6.0,8.0,42.0,1.86,0.65,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.72800000000045,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.7,2.31,1411,7.9,10.44,0.5,0.52,2.66,20.0,6.0,8.0,42.0,1.84,0.64,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.648,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.2,2.46,1411,-1.1,10.5,0.5,0.52,2.7,20.0,6.0,8.0,42.0,1.83,0.64,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.3599999999997999,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.2,3.17,1411,1.4,10.66,0.5,0.53,2.78,20.0,6.0,8.0,42.0,1.81,0.63,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.935999999999737,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.9,3.27,1411,7.0,10.75,0.5,0.54,2.81,20.0,6.0,8.0,42.0,1.8,0.63,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.36800000000001,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
